firma;ort;website;kontakt;telefon;email;status;notizen;demo_url;email_gesendet;anruf_1;google_rating;google_reviews;score;leckerli_paket;lisa_status;video_status;website_status;testnummer
Jul. Weinberger AG;Thalwil;https://www.julweinberger.ch;Christian Weinberger;044 721 22 23;info@julweinberger.ch;DEMO;"GTM Goldstandard. 5 Services, 24h Notdienst, seit 1912.";flowsight.ch/kunden/weinberger-ag;;;4.4;20;9;A+B-Full+C+D;published;none;live;
Sanitherm Sanitär Heizung GmbH;Adliswil;https://www.sanitherm.ch/;Jürg Müller;044 711 75 00;info@sanitherm.ch;OFFEN;"Wenig aussagende Website; 6 GR; GRE Schnitt 3.7";;;;3.7;6;6;B-Full+D;none;none;none;
Wacker+Scavezzon Sanitär GmbH;Kilchberg;https://www.1a-sanitaer.ch/;Giampaolo Scavezzon;+41 43 377 30 50;info@1a-sanitaer.ch;OFFEN;"9 GR; 4.6 Schnitt; einige gute Review-Texte";;;;4.6;9;4;SKIP;none;none;none;
Simson Sanitär & Heizung GmbH;Wollishofen;;Lucas Yebra Garnelo;;;RAUS;"Keine Website; keine E-Mail; kein Telefon auffindbar. Adresse nur c/o. Nicht kontaktierbar.";;;;3.0;2;3;SKIP;none;none;none;
Walter Leuthold Sanitäre Anlagen;Oberrieden;https://walter-leuthold.ch/;Walter Rolf Leuthold;044 720 16 90;info@Walter-Leuthold.ch;OFFEN;"super. Genau sowas suchen wir.";flowsight.ch/kunden/walter-leuthold;;;4.9;44;8;A+B-Full+D;none;none;live;
Alarmstelle für Heizung & Sanitär. HEiZEN24 AG;Horgen;https://heizen24.ch/;Helen Sopi-Wettach (GF);0840 024 024;info@heizen24.ch;OFFEN;"keine Website unter Scout-Adresse; Hauptsitz Zürich; 24h-Service-Plattform, kein klassischer Installateur";;;;4;1;8;A+B-Full+D;none;none;none;
Leins AG;Horgen;https://www.leinsag.ch/;Michael Leins (GL);043 244 66 55;info@leinsag.ch;OFFEN;"website ist schon gut modern, aber starke google bewertungen. Wir schaffen es besser";;;;5;9;7;A+B-Full+D;none;none;none;
Orlandini Sanitär Heizung GmbH;Horgen;https://www.orlandini.ch/;Anastasia Orlandini;044 725 41 44;info@orlandini.ch;OFFEN;"super. Alte website, viele reviews. Jedoch 3,8 Sterne. Familienbetrieb seit 1972, 2. Generation.";flowsight.ch/kunden/orlandini;;;3.8;28;6;B-Full+D;none;none;live;
Schaub Haustechnik;Horgen;https://www.schaub-haustechnik.ch/;"Bünyamin Kökden, Edin Arifagic";044 718 20 20;kontakt@schaub-haustechnik.ch;OFFEN;"passt zu uns";;;;4.3;4;6;B-Full+D;none;none;none;
Dörfler AG;Oberrieden;https://www.doerflerag.ch/;;043 443 52 00;info@doerflerag.ch;DEMO;"Prototyp-Website gebaut (kunden/doerfler-ag). Anfrage nächste Woche.";flowsight.ch/kunden/doerfler-ag;;;4.7;3;6;B-Full+D;none;none;live;
Widmer H. & Co. AG;Horgen;http://www.widmer-sanitaer.ch/;Michael Widmer;044 725 47 00;widmer@widmer-sanitaer.ch;OFFEN;"genau das suchen wir";flowsight.ch/kunden/widmer-sanitaer;;;5;1;5;B-Full+D;none;none;live;
Schaub Sanitär und Heizungstechnik GmbH;Horgen;http://www.ssht.ch/;;044 726 29 03;;OFFEN;"das suchen wir. Aber woher Leistungen nehmen? Website-Zertifikat abgelaufen.";;;;2.7;9;5;B-Full+D;none;none;none;
Benzenhofer Heizungen AG;Horgen;https://benzenhofer-heizungen.digitalone.site/;Christian Emil Benzenhofer;079 458 73 68;benzenhofer3@bluewin.ch;OFFEN;"genau das suchen wir, ist aber nur Heizungen. Digitalone-Baukasten.";;;;0;0;5;B-Full+D;none;none;none;
Beeler Haustechnik;Thalwil;https://www.sanitaer-beeler.ch/;Patrik Beeler;044 722 12 03;mail@beeler-haustechnik.ch;OFFEN;"Website zeigt 'Nicht sicher'. Neue Domain: sanitaer-beeler.ch existiert.";;;;5;1;5;B-Full+D;none;none;none;
